,Nome,Parte edibile,Acqua,Energia,Energia.1,Proteine totali,Proteine animali,Proteine vegetali,Lipidi totali,Lipidi animali,Lipidi vegetali,Lipidi saturi,Acido oleico,Monoinsaturi totali,Acido linoleico,Acido linolenico,Altri polinsaturi,Polinsaturi totali,Colesterolo,Glucidi dispon.,Amido,Glucidi solubili,Fibra alimentare ,Alcool,Fe,Ca,Na,K,P,Zn,B1,B2,Niacina,Vit. C,Vit. B6,Acido Folico,Retinolo equivalenti,Vit. A,b-carotene,Vit. E,Vit. D,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
408,OVINO CUORE,100,75,134,561,"16,9","16,9",0,"7,2","7,2",0,"2,78","1,88","2,13","0,41","0,15","0,12","0,68",180,"0,4",0,"0,4",0,0,5,9,140,280,200,2,"0,49","0,8","7,5",3,"0,29",2,0,0,0,"0,48","0,51",,,,
409,OVINO FEGATO,100,73,135,565,"19,5","19,5",0,"5,5","5,5",0,"1,7","1,21","1,44","0,2","0,15","0,45","0,81",300,2,0,2,0,0,"12,6",8,67,300,364,"3,5","0,4","3,28","13,1",33,"0,42",181,15000,14988,72,"0,6","0,39",,,,
410,PALOMBO,65,"79,2",80,335,16,16,0,"1,2","1,2",0,"0,17","0,17","0,33","0,01","0,01","0,32","0,34",70,"1,3",0,"1,3",0,0,1,31,120,290,218,"0,4","0,03","0,03","5,6",0,"0,37",3,15,15,0,1,"9,1",,,,
411,PAN DI SPAGNA,100,28,314,1314,"8,5","5,9","2,6","6,4","6,1","0,3","2,34","1,44","2,69","0,32","0,01","0,61","0,93",185,"59,4",27,"32,4","1,2",0,"1,1",24,54,104,102,"0,8","0,11","0,24","0,5",0,"0,08",18,110,110,0,"1,02",1,,,,
412,PANCARRE',100,"36,7",267,1117,"8,2",0,"8,2","3,6",0,"3,6","0,81","1,6","1,61","0,71","0,04",0,"0,74",1,"46,9","43,9",3,"2,3",0,3,108,538,119,94,"0,6","0,47","0,34",4,0,"0,06",34,0,0,0,0,0,,,,
413,PANE IN CASSETTA,100,"36,7",267,1117,"8,2",0,"8,2","3,6",0,"3,6","0,81","1,6","1,61","0,71","0,04",0,"0,74",1,"46,9","43,9",3,"2,3",0,3,108,538,119,94,"0,6","0,47","0,34",4,0,"0,06",34,0,0,0,0,0,,,,
414,PANCETTA AFFUMICATA O BACON,91,"57,3",276,1155,"15,8","15,8",0,"23,6","23,6",0,8,"9,3","10,3","2,9","0,3","0,3","3,5",65,0,0,0,0,0,"0,5",6,1260,250,140,"1,5","0,45","0,14","4,7",0,"0,3",3,0,0,0,"0,07","0,9",,,,
415,BACON,91,"57,3",276,1155,"15,8","15,8",0,"23,6","23,6",0,8,"9,3","10,3","2,9","0,3","0,3","3,5",65,0,0,0,0,0,"0,5",6,1260,250,140,"1,5","0,45","0,14","4,7",0,"0,3",3,0,0,0,"0,07","0,9",,,,
416,PANCETTA COPPATA,100,"40,8",394,1648,"20,9","20,9",0,"34,2","34,2",0,14,"11,29","12,54","5,46","0,26","0,16","5,88",73,"0,7",0,"0,7",0,0,"0,9",22,1595,297,202,"2,5","0,58","0,17","5,4",0,"0,33",3,0,0,0,"0,15","0,45",,,,
417,PANCETTA DI MAIALE,100,"19,3",661,2766,"8,4","8,4",0,"69,3","69,3",0,"24,3","23,44","26,28","17,75",0,"0,92","18,67",101,1,0,1,0,0,"1,2",13,108,180,108,"1,6","0,36","0,11","1,8",0,"0,26",2,0,0,0,"0,07",0,,,,
418,PANCETTA MAGRA,100,"47,8",314,1314,"21,7","21,7",0,"25,3","25,3",0,"9,28","10,77","11,76","2,19","0,16","0,25","2,6",65,0,0,0,0,0,"0,7",18,3074,588,140,"4,2","0,45","0,14","4,7",0,"0,3",3,0,0,0,"0,07","0,9",,,,
419,PANCETTA,100,"45,3",337,1410,"20,9","20,9",0,"28,1","28,1",0,"9,61","11,48","12,59","3,61","0,46","0,31","4,38",80,0,0,0,0,0,"0,8",19,1854,273,140,"1,9","0,45","0,14","4,7",0,"0,3",3,0,0,0,"0,07","0,9",,,,
420,PANE AL LATTE,100,20,347,1452,"8,6","1,2",7,"7,6","5,1","2,5","2,7","2,62","3,01","1,5","0,11",0,"1,61",11,"64,9","61,3","3,6","3,1",0,"1,7",70,500,150,140,0,"0,1","0,11","0,7",0,"0,11",44,84,78,34,"0,84","0,62",,,,
421,PANE ALLE OLIVE,100,"35,4",286,1197,7,0,7,"6,7",0,"6,7","1,07","4,69","4,75","0,72","0,06",0,"0,79",0,"52,6","48,7","3,9","3,8",0,"1,8",114,572,142,91,"0,9","0,23","0,08","1,3",0,"0,07",26,5,0,29,"0,2",0,,,,
